Date,Open,High,Low,Close,Volume
2021-03-05 18:00:00,495.75,496.08,492.64,495.46,214657.500766918
2021-03-05 17:00:00,489.19,494.35,486.38,493.55,134973.625990646
2021-03-05 16:00:00,486.31,487.88,481.02,487.12,383674.261909554
2021-03-05 15:00:00,496.09,499.49,486.93,487.8,816460.524674082
2021-03-05 14:00:00,493.35,499.84,493.35,494.5,376012.89346221
2021-03-05 13:00:00,490.02,494.49,487.23,492.48,394597.051219008
2021-03-05 12:00:00,487.43,490.45,483.63,488.66,250977.843373862
2021-03-05 11:00:00,484.49,485.58,483.23,485.57,27822.6021623427
2021-03-05 10:00:00,481.45,482.66,479.13,480.4,81455.899681704
2021-03-05 09:00:00,478.58,481.14,478.45,480.36,139359.794125658
2021-03-05 08:00:00,484.7,485.61,472.72,477.09,206858.873173803
2021-03-05 07:00:00,486.95,488.5,482.97,484.11,90412.2611104878
2021-03-05 06:00:00,482.21,485.92,482.21,485.5,185303.173490075
2021-03-05 05:00:00,479.66,482.77,478.6,481.91,141093.18930943
2021-03-05 04:00:00,485.73,485.88,479.44,480.2,97090.925392804
2021-03-05 03:00:00,484.89,487.23,481.81,486.86,142624.036394195
2021-03-05 02:00:00,482,485.55,476.99,485.18,114458.117717106
2021-03-05 01:00:00,488.38,488.38,479.61,482.89,113247.816615193
2021-03-05 00:00:00,504.9,504.9,484.84,488.2,300478.064531096
2021-03-04 23:00:00,505.59,508.2,503.83,505.51,46239.1437754051
2021-03-04 22:00:00,499.98,509.52,499.69,506.05,148246.229200347
2021-03-04 21:00:00,501.13,502.66,499.74,500.23,92779.848657193
2021-03-04 20:00:00,497.01,501.77,494.93,501.18,299641.836352917
2021-03-04 19:00:00,494.46,501.85,494.46,498.74,345307.306852295
2021-03-04 18:00:00,506.05,508.36,491.62,494.21,598806.899091162
2021-03-04 17:00:00,519.26,519.26,504.15,505.82,242371.718699498
2021-03-04 16:00:00,516.31,519.93,513.63,518.28,130722.890558131
2021-03-04 15:00:00,515.48,518.36,509.98,517.3,352754.623933852
2021-03-04 14:00:00,517.96,522.28,514.59,514.89,304165.070783403
2021-03-04 13:00:00,514.5,517.8,510.47,517.51,190795.678632149
2021-03-04 12:00:00,515.28,518.77,513.67,515.33,227776.920090496
2021-03-04 11:00:00,514.78,516.72,509.63,516.65,164819.405188314
2021-03-04 10:00:00,512.27,518.72,512.27,516.19,83117.8526773434
2021-03-04 09:00:00,523.94,523.94,508.99,514.19,250130.536139669
2021-03-04 08:00:00,520.6,526.95,520.6,523.22,300008.409594269
2021-03-04 07:00:00,512.72,520.34,511.07,520.34,175266.624104354
2021-03-04 06:00:00,516,519.66,512.06,512.63,461896.55410523
2021-03-04 05:00:00,509.97,519.18,509.97,517.24,128366.69361549
2021-03-04 04:00:00,514.3,518.27,508.4,509.77,192362.088585363
2021-03-04 03:00:00,530.02,530.28,512.66,512.92,137015.279870126
2021-03-04 02:00:00,531.21,538.63,530.17,530.89,61676.4139768636
2021-03-04 01:00:00,525.59,533.18,524.4,531.84,36067.6022217984
2021-03-04 00:00:00,520.7,527.3,515.48,525.97,362961.627851266
2021-03-03 23:00:00,523.99,530.89,523.01,523.5,124274.53011516
2021-03-03 22:00:00,530.06,533.18,524.13,524.13,207417.449258586
2021-03-03 21:00:00,526.83,530.55,524.09,529.91,102646.926947346
2021-03-03 20:00:00,533.25,535.63,527.14,527.81,82557.5005735697
2021-03-03 19:00:00,537.99,538.21,531,534,233158.34795718
2021-03-03 18:00:00,538,540.96,536.85,537.96,242301.210329342
2021-03-03 17:00:00,536.32,541,536.17,539.07,232241.219423088
2021-03-03 16:00:00,535.35,538.08,533.9,535.87,110195.023954014
2021-03-03 15:00:00,530.59,534.43,529.82,534.43,177325.497539553
2021-03-03 14:00:00,539.64,539.76,526.89,529.9,1007969.62215398
2021-03-03 13:00:00,554.15,554.15,534.12,538.97,371880.401519065
2021-03-03 12:00:00,538.27,555.25,533.92,554.75,255516.831983822
2021-03-03 11:00:00,540,545,533.1,537.58,136293.144479735
2021-03-03 10:00:00,542.22,546.93,538,539.65,372248.580218709
2021-03-03 09:00:00,542,545.87,538.17,539.22,165072.658719725
2021-03-03 08:00:00,536.19,545.25,534.88,541.16,505093.85121363
2021-03-03 07:00:00,533.19,538.4,532.03,534.56,171559.443038776
2021-03-03 06:00:00,529.41,535.18,529.41,532.26,65464.3982255238
2021-03-03 05:00:00,532.44,535.3,527.93,529.28,96933.1585624896
2021-03-03 04:00:00,520.83,532.97,520.83,530.25,204151.965357952
2021-03-03 03:00:00,520.6,522.28,518.33,520.79,59940.2347918851
2021-03-03 02:00:00,526.18,526.56,520,521.04,101508.380215757
2021-03-03 01:00:00,518.52,525.54,518.07,525.54,78625.741996914
2021-03-03 00:00:00,516.91,522.5,512.5,517.94,52367.5437180288
2021-03-02 23:00:00,511.23,518,510.97,517.16,239296.127613001
2021-03-02 22:00:00,507.5,511.53,505.94,511.05,229657.637991269
2021-03-02 21:00:00,508.11,510.2,504.61,507.97,234421.126884551
2021-03-02 20:00:00,507.1,510.41,501.69,508.62,431576.818646765
2021-03-02 19:00:00,517.39,518.37,508.41,511.02,234467.089739613
2021-03-02 18:00:00,520.35,524.84,515.47,517.92,510309.256805712
2021-03-02 17:00:00,514.58,520.62,510.9,520.62,337350.01038753
2021-03-02 16:00:00,536.96,536.96,510.61,516.82,595146.771839302
2021-03-02 15:00:00,529.02,537,524.4,537,393192.30031272
2021-03-02 14:00:00,534.96,537.52,525.05,528.55,453308.832782685
2021-03-02 13:00:00,538.41,546.14,533,534.41,300583.519744921
2021-03-02 12:00:00,539.86,547.13,533.69,539.22,356049.886938563
2021-03-02 11:00:00,528.52,543.2,527.63,539.95,194789.258594179
2021-03-02 10:00:00,537.97,538.69,527.83,528.2,304445.87585969
2021-03-02 09:00:00,533,550,530.17,535.64,893945.72593622
2021-03-02 08:00:00,498.36,531.75,498.36,531.43,951328.218524075
2021-03-02 07:00:00,498.25,500.8,496.45,498.33,130965.611641049
2021-03-02 06:00:00,498.61,500.5,495.1,498.23,112036.092617848
2021-03-02 05:00:00,503.91,505.72,498.43,498.43,123603.650451314
2021-03-02 04:00:00,500.44,503.51,497.46,503.51,161147.716954236
2021-03-02 03:00:00,502.07,506.21,498.19,500.73,154950.746748766
2021-03-02 02:00:00,503.94,508.44,499.88,502.83,371487.537133603
2021-03-02 01:00:00,501.68,503.94,495.02,503.94,266168.824613682
2021-03-02 00:00:00,501.53,510.07,500.72,502.35,341040.28148535
2021-03-01 23:00:00,496.51,502.65,496.19,501.47,194520.326427499
2021-03-01 22:00:00,492.48,497.41,492.37,496.19,163977.915624417
2021-03-01 21:00:00,488.31,493.42,488,492.9,111097.555864119
2021-03-01 20:00:00,489.66,491.66,485.52,488.67,212663.260210319
2021-03-01 19:00:00,487.94,490.1,485.5,487.83,109039.709241206
2021-03-01 18:00:00,488.2,490,484.87,489.1,98357.840013295
2021-03-01 17:00:00,493.3,494.84,486.99,486.99,432844.284869816
2021-03-01 16:00:00,502.2,506.57,488.96,494.57,447512.004180567
2021-03-01 15:00:00,489.55,501.54,489.55,501.39,563701.960032196
2021-03-01 14:00:00,488.32,491.8,485.89,489.67,297866.978400827
2021-03-01 13:00:00,489.45,494,487.38,490.1,275329.518835176
2021-03-01 12:00:00,482.99,488.56,481.16,487.78,155907.538744134
2021-03-01 11:00:00,484.34,486.93,481.48,482.65,273421.314338515
2021-03-01 10:00:00,484.09,485.75,478.74,484.01,1489672.03275712
2021-03-01 09:00:00,477.17,484.39,476.68,483.89,462193.721727265
2021-03-01 08:00:00,467.36,477.61,467.36,476.82,710579.840395759
2021-03-01 07:00:00,465.6,468.49,462.91,466.85,153692.34613759
2021-03-01 06:00:00,467.23,468.19,460.37,462.98,110976.889331651
2021-03-01 05:00:00,471.59,471.59,466.07,466.82,71011.6850476226
2021-03-01 04:00:00,467.97,472.48,466.51,471.31,96235.6138063425
2021-03-01 03:00:00,467.14,472.13,465,467.69,364207.799999941
2021-03-01 02:00:00,467.53,471.52,467.09,467.49,347954.309110819
2021-03-01 01:00:00,467.15,467.47,463.39,465.88,216116.265303516
2021-03-01 00:00:00,460.53,470.36,458.68,467.31,134023.809862226
2021-02-28 23:00:00,466.73,467.34,459.57,460.3,112193.117009648
2021-02-28 22:00:00,463.45,464.36,456.31,461.57,134877.344610328
2021-02-28 21:00:00,457.98,464.85,456.92,462.52,217766.473295124
2021-02-28 20:00:00,453.45,458.26,452.05,458.25,113094.197263515
2021-02-28 19:00:00,445.47,452.56,443.9,452.17,213174.20400727
2021-02-28 18:00:00,437.37,445.34,437.37,445.34,143782.895909433
2021-02-28 17:00:00,439.67,445.23,437.58,438.15,159538.485617844
2021-02-28 16:00:00,440.83,445.82,432.02,439.5,611200.29628788
2021-02-28 15:00:00,453.27,453.27,437.81,441.79,258742.404176986
2021-02-28 14:00:00,447.42,452.98,437.16,452.98,1360386.38548786
2021-02-28 13:00:00,456.47,456.87,446.82,446.82,135614.784117424
2021-02-28 12:00:00,461.5,462.74,452.92,455.49,103812.61210231
2021-02-28 11:00:00,462.1,464.31,460,461.84,85515.07040666
2021-02-28 10:00:00,458.97,463.36,456.48,461.63,50479.1893236982
2021-02-28 09:00:00,458.09,463.22,456.37,459.8,87494.258030696
2021-02-28 08:00:00,450.06,459.13,450.06,458.3,259568.851955203
2021-02-28 07:00:00,447.99,454.26,446.33,449.95,262880.438362606
2021-02-28 06:00:00,456.42,458.37,441.96,449.02,697134.136663164
2021-02-28 05:00:00,454.43,465.47,448.27,456.04,816119.803749723
2021-02-28 04:00:00,459.24,468.33,455,455,114070.0177799
2021-02-28 03:00:00,469.03,471.47,455.55,459.33,476934.079787144
2021-02-28 02:00:00,482.78,482.78,468.22,468.86,153057.825929077
2021-02-28 01:00:00,483.36,484.93,480.93,482.88,163036.088910422
2021-02-28 00:00:00,481.65,485.76,478.33,483.73,137499.451056136
2021-02-27 23:00:00,483.65,486.49,473.81,483.9,333966.35856963
2021-02-27 22:00:00,491.16,491.55,483.59,483.59,572335.464854132
2021-02-27 21:00:00,492.82,494.4,488.92,491.44,57079.9353984024
2021-02-27 20:00:00,497.33,497.33,493,493,254657.51751924
2021-02-27 19:00:00,493.2,496.5,493.2,496.5,67585.49471253
2021-02-27 18:00:00,493.25,495.27,492.1,493.64,118011.024291306
2021-02-27 17:00:00,489.51,493.82,489.51,493.22,117916.945523523
2021-02-27 16:00:00,484.87,490.32,483.27,489.43,194538.725765024
2021-02-27 15:00:00,490.03,498.92,485.01,487.13,87844.6749523497
2021-02-27 14:00:00,492.97,496.74,486.25,489.24,230603.892717366
2021-02-27 13:00:00,495,496.53,491.7,492.89,221352.389401523
2021-02-27 12:00:00,491.39,494.8,484.7,491.83,58636.5135097157
2021-02-27 11:00:00,485.8,492.32,485.07,489.65,166409.134412255
2021-02-27 10:00:00,485.17,487.55,483.92,484,78643.63542904
2021-02-27 09:00:00,482.37,486.38,480.49,484.02,129589.039918616
2021-02-27 08:00:00,492.1,494.26,483.41,483.44,87826.9929537144
2021-02-27 07:00:00,495.42,495.42,489.22,491,79810.95894399
2021-02-27 06:00:00,494.97,501.42,494.97,499.13,117914.9952865
2021-02-27 05:00:00,494.06,497.36,493.11,494.97,160360.054701853
2021-02-27 04:00:00,495.14,497.09,489.08,494.83,113208.876045933
2021-02-27 03:00:00,490.62,499.98,490.62,494.02,200209.5938073
2021-02-27 02:00:00,496.67,498.22,491.18,491.18,119810.591086241
2021-02-27 01:00:00,497.96,499.95,493.77,496.89,157163.495397624
2021-02-27 00:00:00,486.01,497.84,484.42,496.61,112070.665501698
2021-02-26 23:00:00,478.05,486.49,476.7,485.33,71883.305285656
2021-02-26 22:00:00,480.98,484.43,476.54,477.8,338142.334611856
2021-02-26 21:00:00,484.53,490.12,478.64,480.53,323825.705367597
2021-02-26 20:00:00,494.03,496.93,483.22,483.22,248104.382489953
2021-02-26 19:00:00,498.18,499.91,490.62,491.79,233501.95611958
2021-02-26 18:00:00,501.58,507.6,497.46,497.46,254546.237675073
2021-02-26 17:00:00,505.93,507.1,499.01,500.44,235725.872727384
2021-02-26 16:00:00,495.28,505.97,492.12,505.83,448501.598175021
2021-02-26 15:00:00,489.27,494.99,485.16,493.32,111137.773967862
2021-02-26 14:00:00,476.67,493.24,476.67,491.81,321555.730792306
2021-02-26 13:00:00,485.74,486.75,476.34,476.34,163758.337982039
2021-02-26 12:00:00,482.63,492,481.92,485.84,270183.862957313
2021-02-26 11:00:00,486.9,489.03,475.93,481.72,289805.126768804
2021-02-26 10:00:00,485.24,487.82,480.2,487.27,683878.052933525
2021-02-26 09:00:00,475.88,486.76,471.18,484.34,513482.54288221
2021-02-26 08:00:00,466.25,479.64,466.07,476.46,594966.721380485
2021-02-26 07:00:00,480.16,481.65,457.35,465.66,871815.071854186
2021-02-26 06:00:00,471.73,481.66,471.34,478.49,465960.116939778
2021-02-26 05:00:00,489.16,489.2,466.47,467.92,231899.802537437
2021-02-26 04:00:00,491.17,495.94,486.32,487.62,249545.546179436
2021-02-26 03:00:00,485.64,492.13,483.42,491.03,396757.883363597
2021-02-26 02:00:00,480.63,492.89,479.84,485.44,135400.178511907
2021-02-26 01:00:00,489.29,493.89,481.1,482.44,629482.265001531
2021-02-26 00:00:00,499.59,506.48,474,486.09,489548.512986865
2021-02-25 23:00:00,509.75,515.77,493.32,498.57,390355.737713308
2021-02-25 22:00:00,509.99,515.94,501.61,510.57,326191.722895912
2021-02-25 21:00:00,520.37,521.9,509.9,510.69,703936.747663384
2021-02-25 20:00:00,523.83,525,516.61,521.53,527361.98244965
2021-02-25 19:00:00,521.79,529.51,520.35,524.27,424251.264691438
2021-02-25 18:00:00,525.91,530.86,522.19,525.22,193294.176625576
2021-02-25 17:00:00,540.52,540.52,524.01,525.72,330470.728356148
2021-02-25 16:00:00,546.73,548.4,539,540.36,160199.00822169
2021-02-25 15:00:00,539.32,549,539.32,544.02,236006.745350954
2021-02-25 14:00:00,546.82,550.11,538.01,540.51,398905.433326296
2021-02-25 13:00:00,548.94,557.45,543.49,545.85,538857.605719589
2021-02-25 12:00:00,544.66,550.35,537.5,548.94,560360.554881351
2021-02-25 11:00:00,531.94,545.49,531.5,543.26,401380.912756079
2021-02-25 10:00:00,522.47,532.91,521.59,530.58,282242.557186798
2021-02-25 09:00:00,524.94,527.39,516.04,519.59,362809.353154996
2021-02-25 08:00:00,533.09,536.86,522.68,523.92,319150.29590988
2021-02-25 07:00:00,530.77,538.55,528.1,533,319547.32565223
2021-02-25 06:00:00,535.32,535.32,527.72,530.77,160816.066247425
2021-02-25 05:00:00,522.08,536.3,522.06,534.99,165339.880036886
2021-02-25 04:00:00,528.66,528.72,520.13,520.86,285354.785239919
2021-02-25 03:00:00,534.01,534.04,524,528.71,302979.053935594
2021-02-25 02:00:00,535.06,539.35,532.55,534.83,60703.0370045487
2021-02-25 01:00:00,537.5,544.51,535.06,536.72,188084.305420726
2021-02-25 00:00:00,527.15,542.1,527.05,538.25,287178.473472738
2021-02-24 23:00:00,519.34,527.95,518.46,527.51,181174.185351228
2021-02-24 22:00:00,517.11,520,504.23,520,211554.8641284
2021-02-24 21:00:00,518.85,519.38,506.12,517.17,232490.066115138
2021-02-24 20:00:00,516.42,520.02,511.8,518.84,373824.032029456
2021-02-24 19:00:00,527.98,528.95,516.99,517.91,158186.329158755
