Date,Open,High,Low,Close,Volume
2021-02-17 00:00:00,49136.7,52640,48896.19,52174.28,499393841.182472
2021-02-16 00:00:00,47954.05,50602.53,47036.02,49166.53,411822596.269818
2021-02-15 00:00:00,48620.48,49048.82,45914.75,47942.57,331970371.748968
2021-02-14 00:00:00,47258.66,49714.66,47081.02,48662.5,253127430.65451
2021-02-13 00:00:00,47424.25,48220,46133,47228.48,201744582.77273
2021-02-12 00:00:00,48044.88,49000,46231.16,47395.84,282959606.025942
2021-02-11 00:00:00,44854.63,48696.84,44040.96,47981.48,450585267.113428
2021-02-10 00:00:00,46493.9,47364.09,43746.06,44854.63,425371211.507608
2021-02-09 00:00:00,46445.51,48216.09,45000,46505.2,581551361.905619
2021-02-08 00:00:00,38870.36,46712.12,38050.97,46416.45,884405737.002033
2021-02-07 00:00:00,39274.8,39727.44,37412.93,38858.39,232110495.733972
2021-02-06 00:00:00,38320,41025.48,38230.81,39282.1,339226867.821716
2021-02-05 00:00:00,36984.28,38359.69,36618.36,38320,199722877.454098
2021-02-04 00:00:00,37693,38748.52,36197.65,36996.32,435180399.767429
2021-02-03 00:00:00,35496.91,37732.87,35382.45,37691.63,330831983.170512
2021-02-02 00:00:00,33497.16,36008.67,33431.67,35522.16,256678333.367831
2021-02-01 00:00:00,33110.32,34736.1,32333.01,33532.74,280805063.394469
2021-01-31 00:00:00,34300.19,34380.21,32193.7,33141.38,157425636.562447
2021-01-30 00:00:00,34265.71,34931.39,32860,34323,249915567.925101
2021-01-29 00:00:00,33488.66,38620,31990,34249.64,1076795633.65781
2021-01-28 00:00:00,30427.34,33870.58,29899.99,33484.87,598687944.012564
2021-01-27 00:00:00,32521.65,32580.12,29150.49,30424.62,681624261.784644
2021-01-26 00:00:00,32264.15,32953.28,30847.4,32504.53,375586951.609906
2021-01-25 00:00:00,32289.06,34888,31939.12,32261.22,323862498.771941
2021-01-24 00:00:00,32098.38,33075.75,30960.77,32288.83,150424283.121331
2021-01-23 00:00:00,32989.1,33468.46,31426.11,32117.49,168801365.353535
2021-01-22 00:00:00,30817.86,33864.85,28800,32992.06,561511118.383801
2021-01-21 00:00:00,35516.17,35620.96,30044.16,30818.18,653796632.927552
2021-01-20 00:00:00,35888.13,36440.1,33400,35496.91,431659021.588537
2021-01-19 00:00:00,36665.82,37874.71,35888,35917.62,236296930.676042
2021-01-18 00:00:00,35826.36,37449.86,34777.85,36616.95,228900410.301717
2021-01-17 00:00:00,36013.51,36839,33833.55,35819.25,244348627.596512
2021-01-16 00:00:00,36778.66,37944.12,35350,36000,276788977.13304
2021-01-15 00:00:00,39147.98,39694,34380,36756.57,496181248.875169
